ensembl	symbol	datatype	CCRCC.val	CCRCC.pval	COAD.val	COAD.pval	HNSCC.val	HNSCC.pval	LSCC.val	LSCC.pval	LUAD.val	LUAD.pval	OV.val	OV.pval	PDAC.val	PDAC.pval	UCEC.val	UCEC.pval	metap
ENSG00000114735	HEMK1	protein	-5.5e-01	-8.4e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 4.0e-01	 2.8e-01	NA	NA	  9.5e-04
ENSG00000162639	HENMT1	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000165478	HEPACAM	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000188175	HEPACAM2	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000089472	HEPH	protein	 4.9e-02	 5.3e-01	-2.1e-01	-2.6e-04	 1.6e-01	 3.3e-02	-1.1e-01	-3.8e-02	-1.6e-01	-1.9e-03	-1.2e-01	-4.6e-01	 7.8e-01	 2.9e-14	-7.6e-01	-2.3e-08	 -8.9e-02
ENSG00000181333	HEPHL1	protein	NA	NA	NA	NA	 7.4e-01	 6.5e-06	 2.9e-01	 2.6e-01	NA	NA	NA	NA	NA	NA	NA	NA	  7.0e-05
ENSG00000221932	HEPN1	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000103657	HERC1	protein	-2.6e-02	-2.4e-01	 3.1e-02	 6.4e-01	NA	NA	 1.7e-01	 8.0e-17	 1.1e-01	 9.2e-09	 1.1e-01	 1.2e-01	-4.2e-01	-8.3e-10	 1.6e-02	 7.2e-01	  5.3e-04
ENSG00000128731	HERC2	protein	-1.9e-01	-7.9e-15	-1.3e-01	-2.1e-01	 1.4e-01	 8.6e-07	 1.8e-01	 8.4e-15	 1.2e-01	 6.7e-11	-2.8e-02	-7.6e-01	-1.6e-01	-2.8e-02	 1.4e-01	 2.0e-03	  1.4e-04
ENSG00000138641	HERC3	protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
